vaccine,country,year,coverage
MCV1,PAK,1987,0.43
MCV1,PAK,1988,0.46
MCV1,PAK,1989,0.48
MCV1,PAK,1990,0.5
MCV1,PAK,1991,0.51
MCV1,PAK,1992,0.52
MCV1,PAK,1993,0.52
MCV1,PAK,1994,0.53
MCV1,PAK,1995,0.47
MCV1,PAK,1996,0.5
MCV1,PAK,1997,0.52
MCV1,PAK,1998,0.54
MCV1,PAK,1999,0.56
MCV1,PAK,2000,0.57
MCV1,PAK,2001,0.59
MCV1,PAK,2002,0.6
MCV1,PAK,2003,0.62
MCV1,PAK,2004,0.63
MCV1,PAK,2005,0.61
MCV1,PAK,2006,0.59
MCV1,PAK,2007,0.57
MCV1,PAK,2008,0.56
MCV1,PAK,2009,0.56
MCV1,PAK,2010,0.57
MCV1,PAK,2011,0.59
MCV1,PAK,2012,0.63
MCV1,PAK,2013,0.68
MCV1,PAK,2014,0.71
MCV1,PAK,2015,0.75
MCV1,PAK,2016,0.75
MCV1,PAK,2017,0.76
MCV1,PAK,2018,0.76
MCV1,PAK,2019,0.7662
MCV1,PAK,2020,0.7724
MCV1,PAK,2021,0.7784
MCV1,PAK,2022,0.7843
MCV1,PAK,2023,0.7901
MCV1,PAK,2024,0.7957
MCV1,PHL,1982,0.09
MCV1,PHL,1983,0.27
MCV1,PHL,1984,0.44
MCV1,PHL,1985,0.49
MCV1,PHL,1986,0.51
MCV1,PHL,1987,0.67
MCV1,PHL,1988,0.77
MCV1,PHL,1989,0.83
MCV1,PHL,1990,0.85
MCV1,PHL,1991,0.83
MCV1,PHL,1992,0.81
MCV1,PHL,1993,0.78
MCV1,PHL,1994,0.75
MCV1,PHL,1995,0.72
MCV1,PHL,1996,0.76
MCV1,PHL,1997,0.79
MCV1,PHL,1998,0.8
MCV1,PHL,1999,0.8
MCV1,PHL,2000,0.78
MCV1,PHL,2001,0.81
MCV1,PHL,2002,0.82
MCV1,PHL,2003,0.87
MCV1,PHL,2004,0.92
MCV1,PHL,2005,0.92
MCV1,PHL,2006,0.92
MCV1,PHL,2007,0.92
MCV1,PHL,2008,0.92
MCV1,PHL,2009,0.88
MCV1,PHL,2010,0.8
MCV1,PHL,2011,0.87
MCV1,PHL,2012,0.87
MCV1,PHL,2013,0.87
MCV1,PHL,2014,0.79
MCV1,PHL,2015,0.82
MCV1,PHL,2016,0.8
MCV1,PHL,2017,0.73
MCV1,PHL,2018,0.67
MCV1,PHL,2019,0.67
MCV1,PHL,2020,0.67
MCV1,PHL,2021,0.67
MCV1,PHL,2022,0.67
MCV1,PHL,2023,0.67
MCV1,PHL,2024,0.67
MCV1,SOM,1975,0.015
MCV1,SOM,1976,0.03
MCV1,SOM,1977,0.045
MCV1,SOM,1978,0.0600000000000001
MCV1,SOM,1979,0.075
MCV1,SOM,1980,0.09
MCV1,SOM,1981,0.03
MCV1,SOM,1982,0.04
MCV1,SOM,1983,0.0600000000000001
MCV1,SOM,1984,0.16
MCV1,SOM,1985,0.35
MCV1,SOM,1986,0.25
MCV1,SOM,1987,0.28
MCV1,SOM,1988,0.33
MCV1,SOM,1989,0.3
MCV1,SOM,1990,0.3
MCV1,SOM,1991,0.3
MCV1,SOM,1992,0.32
MCV1,SOM,1993,0.33
MCV1,SOM,1994,0.35
MCV1,SOM,1995,0.34
MCV1,SOM,1996,0.33
MCV1,SOM,1997,0.25
MCV1,SOM,1998,0.32
MCV1,SOM,1999,0.38
MCV1,SOM,2000,0.24
MCV1,SOM,2001,0.2
MCV1,SOM,2002,0.45
MCV1,SOM,2003,0.4
MCV1,SOM,2004,0.4
MCV1,SOM,2005,0.35
MCV1,SOM,2006,0.35
MCV1,SOM,2007,0.35
MCV1,SOM,2008,0.34
MCV1,SOM,2009,0.43
MCV1,SOM,2010,0.46
MCV1,SOM,2011,0.46
MCV1,SOM,2012,0.46
MCV1,SOM,2013,0.46
MCV1,SOM,2014,0.46
MCV1,SOM,2015,0.46
MCV1,SOM,2016,0.46
MCV1,SOM,2017,0.46
MCV1,SOM,2018,0.46
MCV1,SOM,2019,0.4722
MCV1,SOM,2020,0.4843
MCV1,SOM,2021,0.4966
MCV1,SOM,2022,0.5088
MCV1,SOM,2023,0.521
MCV1,SOM,2024,0.5332
MCV1,UGA,1981,0.22
MCV1,UGA,1982,0.21
MCV1,UGA,1983,0.2
MCV1,UGA,1984,0.18
MCV1,UGA,1985,0.17
MCV1,UGA,1986,0.27
MCV1,UGA,1987,0.38
MCV1,UGA,1988,0.49
MCV1,UGA,1989,0.51
MCV1,UGA,1990,0.52
MCV1,UGA,1991,0.54
MCV1,UGA,1992,0.56
MCV1,UGA,1993,0.57
MCV1,UGA,1994,0.59
MCV1,UGA,1995,0.57
MCV1,UGA,1996,0.55
MCV1,UGA,1997,0.54
MCV1,UGA,1998,0.5
MCV1,UGA,1999,0.55
MCV1,UGA,2000,0.57
MCV1,UGA,2001,0.59
MCV1,UGA,2002,0.62
MCV1,UGA,2003,0.64
MCV1,UGA,2004,0.66
MCV1,UGA,2005,0.68
MCV1,UGA,2006,0.75
MCV1,UGA,2007,0.75
MCV1,UGA,2008,0.7
MCV1,UGA,2009,0.77
MCV1,UGA,2010,0.73
MCV1,UGA,2011,0.75
MCV1,UGA,2012,0.8
MCV1,UGA,2013,0.83
MCV1,UGA,2014,0.85
MCV1,UGA,2015,0.79
MCV1,UGA,2016,0.79
MCV1,UGA,2017,0.79
MCV1,UGA,2018,0.86
MCV1,UGA,2019,0.8632
MCV1,UGA,2020,0.8663
MCV1,UGA,2021,0.8694
MCV1,UGA,2022,0.8724
MCV1,UGA,2023,0.8753
MCV1,UGA,2024,0.8782
MCV1,UKR,1990,0.89
MCV1,UKR,1991,0.89
MCV1,UKR,1992,0.9
MCV1,UKR,1993,0.94
MCV1,UKR,1994,0.96
MCV1,UKR,1995,0.97
MCV1,UKR,1996,0.92
MCV1,UKR,1997,0.97
MCV1,UKR,1998,0.96
MCV1,UKR,1999,0.99
MCV1,UKR,2000,0.99
MCV1,UKR,2001,0.99
MCV1,UKR,2002,0.99
MCV1,UKR,2003,0.99
MCV1,UKR,2004,0.99
MCV1,UKR,2005,0.96
MCV1,UKR,2006,0.98
MCV1,UKR,2007,0.97
MCV1,UKR,2008,0.94
MCV1,UKR,2009,0.75
MCV1,UKR,2010,0.56
MCV1,UKR,2011,0.67
MCV1,UKR,2012,0.79
MCV1,UKR,2013,0.79
MCV1,UKR,2014,0.56
MCV1,UKR,2015,0.56
MCV1,UKR,2016,0.42
MCV1,UKR,2017,0.86
MCV1,UKR,2018,0.91
MCV1,UKR,2019,0.91
MCV1,UKR,2020,0.91
MCV1,UKR,2021,0.91
MCV1,UKR,2022,0.91
MCV1,UKR,2023,0.91
MCV1,UKR,2024,0.91
MCV2,AGO,2015,0.26
MCV2,AGO,2016,0.26
MCV2,AGO,2017,0.3
MCV2,AGO,2018,0.35
MCV2,AGO,2019,0.3756
MCV2,AGO,2020,0.4019
MCV2,AGO,2021,0.4288
MCV2,AGO,2022,0.4561
MCV2,AGO,2023,0.4837
MCV2,AGO,2024,0.5114
MCV2,CHN,2001,0.86485
MCV2,CHN,2002,0.969
MCV2,CHN,2003,0.964
MCV2,CHN,2004,0.9618
MCV2,CHN,2005,0.84
MCV2,CHN,2006,0.94
MCV2,CHN,2007,0.92
MCV2,CHN,2008,0.95
MCV2,CHN,2009,0.98
MCV2,CHN,2010,0.99
MCV2,CHN,2011,0.99
MCV2,CHN,2012,0.99
MCV2,CHN,2013,0.99
MCV2,CHN,2014,0.99
MCV2,CHN,2015,0.99
MCV2,CHN,2016,0.99
MCV2,CHN,2017,0.99
MCV2,CHN,2018,0.99
MCV2,CHN,2019,0.99
MCV2,CHN,2020,0.99
MCV2,CHN,2021,0.98
MCV2,CHN,2022,0.98
MCV2,CHN,2023,0.98
MCV2,CHN,2024,0.98
MCV2,COD,2021,0.4269
MCV2,COD,2022,0.5573
MCV2,COD,2023,0.6312
MCV2,COD,2024,0.6803
MCV2,ETH,2019,0.41
MCV2,ETH,2020,0.46
MCV2,ETH,2021,0.4269
MCV2,ETH,2022,0.5573
MCV2,ETH,2023,0.6312
MCV2,ETH,2024,0.6803
MCV2,IDN,2003,0.21
MCV2,IDN,2004,0.29
MCV2,IDN,2005,0.23
MCV2,IDN,2006,0.5
MCV2,IDN,2007,0.73
MCV2,IDN,2008,0.66
MCV2,IDN,2009,0.67
MCV2,IDN,2010,0.74
MCV2,IDN,2011,0.76
MCV2,IDN,2012,0.78
MCV2,IDN,2013,0.76
MCV2,IDN,2014,0.28
MCV2,IDN,2015,0.31
MCV2,IDN,2016,0.55
MCV2,IDN,2017,0.63
MCV2,IDN,2018,0.67
MCV2,IDN,2019,0.6824
MCV2,IDN,2020,0.6945
MCV2,IDN,2021,0.7064
MCV2,IDN,2022,0.718
MCV2,IDN,2023,0.7293
MCV2,IDN,2024,0.7404
MCV2,IND,2011,0.27
MCV2,IND,2012,0.36
MCV2,IND,2013,0.51
MCV2,IND,2014,0.6
MCV2,IND,2015,0.69
MCV2,IND,2016,0.76
MCV2,IND,2017,0.8
MCV2,IND,2018,0.8
MCV2,IND,2019,0.8214
MCV2,IND,2020,0.841
MCV2,IND,2021,0.8588
MCV2,IND,2022,0.8749
MCV2,IND,2023,0.8894
MCV2,IND,2024,0.89
MCV2,MDG,2020,0.14
MCV2,MDG,2021,0.4269
MCV2,MDG,2022,0.5573
MCV2,MDG,2023,0.6312
MCV2,MDG,2024,0.6803
MCV2,MWI,2015,0.08
MCV2,MWI,2016,0.61
MCV2,MWI,2017,0.67
MCV2,MWI,2018,0.72
MCV2,MWI,2019,0.7778
MCV2,MWI,2020,0.8265
MCV2,MWI,2021,0.8664
MCV2,MWI,2022,0.89
MCV2,MWI,2023,0.89
MCV2,MWI,2024,0.89
MCV2,NGA,2019,0.09
MCV2,NGA,2020,0.36
MCV2,NGA,2021,0.4269
MCV2,NGA,2022,0.5573
MCV2,NGA,2023,0.6312
MCV2,NGA,2024,0.6803
MCV2,PAK,2009,0.3
MCV2,PAK,2010,0.34
MCV2,PAK,2011,0.38
MCV2,PAK,2012,0.42
MCV2,PAK,2013,0.43
MCV2,PAK,2014,0.48
MCV2,PAK,2015,0.54
MCV2,PAK,2016,0.67
MCV2,PAK,2017,0.67
MCV2,PAK,2018,0.67
MCV2,PAK,2019,0.6876
MCV2,PAK,2020,0.7047
MCV2,PAK,2021,0.7213
MCV2,PAK,2022,0.7372
MCV2,PAK,2023,0.7526
MCV2,PAK,2024,0.7674
MCV2,PHL,2009,0.19
MCV2,PHL,2010,0.1
MCV2,PHL,2011,0.33
MCV2,PHL,2012,0.35
MCV2,PHL,2013,0.45
MCV2,PHL,2014,0.47
MCV2,PHL,2015,0.51
MCV2,PHL,2016,0.47
MCV2,PHL,2017,0.46
MCV2,PHL,2018,0.4
MCV2,PHL,2019,0.4325
MCV2,PHL,2020,0.4656
MCV2,PHL,2021,0.4989
MCV2,PHL,2022,0.5323
MCV2,PHL,2023,0.5654
MCV2,PHL,2024,0.598
MCV2,SOM,2021,0.4269
MCV2,SOM,2022,0.5573
MCV2,SOM,2023,0.6312
MCV2,SOM,2024,0.6803
MCV2,UGA,2021,0.4269
MCV2,UGA,2022,0.5573
MCV2,UGA,2023,0.6312
MCV2,UGA,2024,0.6803
MCV2,UKR,1999,0.99
MCV2,UKR,2000,0.99
MCV2,UKR,2001,0.98
MCV2,UKR,2002,0.98
MCV2,UKR,2003,0.99
MCV2,UKR,2004,0.97
MCV2,UKR,2005,0.96
MCV2,UKR,2006,0.98
MCV2,UKR,2007,0.96
MCV2,UKR,2008,0.95
MCV2,UKR,2009,0.68
MCV2,UKR,2010,0.41
MCV2,UKR,2011,0.56
MCV2,UKR,2012,0.54
MCV2,UKR,2013,0.54
MCV2,UKR,2014,0.57
MCV2,UKR,2015,0.57
MCV2,UKR,2016,0.31
MCV2,UKR,2017,0.84
MCV2,UKR,2018,0.9
MCV2,UKR,2019,0.9
MCV2,UKR,2020,0.9
MCV2,UKR,2021,0.9
MCV2,UKR,2022,0.9
MCV2,UKR,2023,0.9
MCV2,UKR,2024,0.9
